,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,2237000.0,2237000.0,1692000.0,2002000.0,2055000.0
1,Investing Cash Flow,692000.0,692000.0,1106000.0,213000.0,415000.0
2,Financing Cash Flow,1562000.0,1562000.0,681000.0,1967000.0,2627000.0
3,End Cash Position,2987000.0,2987000.0,3115000.0,952000.0,1129000.0
4,Income Tax Paid Supplemental Data,0,0,0,759000.0,925000.0
5,Interest Paid Supplemental Data,0,0,0,83000.0,75000.0
6,Capital Expenditure,344000.0,344000.0,312000.0,243000.0,263000.0
7,Issuance of Debt,140000.0,140000.0,11784000.0,0,117000.0
8,Repayment of Debt,704000.0,704000.0,1911000.0,0,0.0
9,Repurchase of Capital Stock,527000.0,527000.0,0,0,0
10,Free Cash Flow,1893000.0,1893000.0,1380000.0,1759000.0,1792000.0
