,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,7198000,7198000,6327000,6912000,6558000
1,Investing Cash Flow,3084000,3084000,1485000,1928000,3212000
2,Financing Cash Flow,4188000,4188000,3755000,4538000,3650000
3,End Cash Position,9263000,9263000,9366000,8292000,7890000
4,Capital Expenditure,2472000,2472000,2115000,2669000,2916000
5,Issuance of Capital Stock,135000,135000,229000,238000,313000
6,Issuance of Debt,6989000,6989000,10431000,9841000,8907000
7,Repayment of Debt,9796000,9796000,8237000,8297000,7829000
8,Repurchase of Capital Stock,2668000,2668000,1130000,4047000,3798000
9,Free Cash Flow,4726000,4726000,4212000,4243000,3642000
