,Breakdown,ttm,11/30/2021,11/30/2020,11/30/2019,11/30/2018
0,Operating Cash Flow,4109000,4109000,6301000,5475000.0,5549000
1,Investing Cash Flow,3543000,3543000,3240000,5277000.0,3502000
2,Financing Cash Flow,6949000,6949000,18650000,655000.0,1460000
3,End Cash Position,8976000,8976000,9692000,530000.0,982000
4,Capital Expenditure,3607000,3607000,3620000,5429000.0,3749000
5,Issuance of Capital Stock,1009000,1009000,3249000,0,0
6,Issuance of Debt,13042000,13042000,15020000,3674000.0,2542000
7,Repayment of Debt,5956000,5956000,1621000,1651000.0,1556000
8,Repurchase of Capital Stock,0,0,12000,603000.0,1468000
9,Free Cash Flow,7716000,7716000,9921000,46000.0,1800000
