,Breakdown,ttm,6/30/2021,6/30/2020,6/30/2019,6/30/2018
0,Operating Cash Flow,441000,433000,440300,247700,374500
1,Investing Cash Flow,1594000,649000,827500,1510400,919300
2,Financing Cash Flow,1182000,142000,1001700,1201400,669100
3,End Cash Position,862000,896000,953200,345400,410200
4,Income Tax Paid Supplemental Data,55000,47000,43400,42200,23900
5,Interest Paid Supplemental Data,103000,105000,98400,102500,83200
6,Capital Expenditure,624000,686000,465800,218100,176500
7,Issuance of Capital Stock,0,82000,1046500,1091800,277800
8,Issuance of Debt,1264000,166000,909100,1447600,442600
9,Repayment of Debt,76000,67000,860800,1298700,22000
10,Free Cash Flow,183000,253000,25500,29600,198000
