,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,2061900,2061900,1860200,2420700,2277700
1,Investing Cash Flow,4579700,4579700,414500,1199100,1030000
2,Financing Cash Flow,1603200,1603200,341800,1349600,1172700
3,End Cash Position,359900,359900,1260200,186400,294000
4,Income Tax Paid Supplemental Data,275700,275700,366900,356300,395200
5,Interest Paid Supplemental Data,208700,208700,262500,189400,206400
6,Capital Expenditure,643000,643000,489000,800600,847100
7,Issuance of Debt,2775000,2775000,1855900,0,0
8,Repayment of Debt,1047300,1047300,1647100,400600,551600
9,Repurchase of Capital Stock,106600,106600,146200,353700,562400
10,Free Cash Flow,1418900,1418900,1371200,1620100,1430600
