,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1260184,1260184,1265536.0,1456984,1356295
1,Investing Cash Flow,434620,434620,663586.0,771824,376834
2,Financing Cash Flow,565056,565056,1946393.0,684474,963910
3,End Cash Position,360236,360236,99728.0,116999,116313
4,Income Tax Paid Supplemental Data,585,1179,0,585,853
5,Interest Paid Supplemental Data,252838,252838,320854.0,342048,358156
6,Capital Expenditure,152715,152715,156079.0,183378,193006
7,Issuance of Debt,8156098,8156098,9840201.0,23445039,18829155
8,Repayment of Debt,7864280,7864280,10842281.0,23270713,18991068
9,Free Cash Flow,1107469,1107469,1109457.0,1273606,1163289
