,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,2888244.0,2300713,2689866.0,2816627.0,2385247
1,Investing Cash Flow,6217223.0,6179276,4772306.0,4510242.0,4105987
2,Financing Cash Flow,2287914.0,2562023,3415817.0,1638362.0,1420442
3,End Cash Position,701591.0,442559,1759099.0,425722.0,480975
4,Income Tax Paid Supplemental Data,0,98377,0,0,19825
5,Interest Paid Supplemental Data,827046.0,843228,803923.0,778209.0,734845
6,Capital Expenditure,6406997.0,6422112,5156861.0,4631505.0,4271217
7,Issuance of Capital Stock,215403.0,206753,42600.0,734700.0,675917
8,Issuance of Debt,7185554.0,8308427,12619201.0,9304396.0,8035536
9,Repayment of Debt,4705746.0,4827827,8152378.0,7619380.0,6965738
10,Repurchase of Capital Stock,0,0,0.0,50000.0,53868
11,Free Cash Flow,3518753.0,4121399,2466995.0,1814878.0,1885970
