,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,3012000.0,3012000.0,4235000.0,6659000.0,8644000
1,Investing Cash Flow,3317000.0,3317000.0,4336000.0,7260000.0,7834000
2,Financing Cash Flow,758000.0,758000.0,145000.0,58000.0,219000
3,End Cash Position,1619000.0,1619000.0,1166000.0,1122000.0,1781000
4,Capital Expenditure,7981000.0,7981000.0,8048000.0,7248000.0,7594000
5,Issuance of Capital Stock,0,0,0,0.0,0
6,Issuance of Debt,5130000.0,5130000.0,8168000.0,2732000.0,3241000
7,Repayment of Debt,1990000.0,1990000.0,6440000.0,1412000.0,2125000
8,Repurchase of Capital Stock,0,0,0,0,0
9,Free Cash Flow,4969000.0,4969000.0,3813000.0,589000.0,1050000
