,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,3944000.0,3944000.0,2118000.0,2734000,1564505
1,Investing Cash Flow,1539000.0,1539000.0,2101000.0,3888000,3503043
2,Financing Cash Flow,1841000.0,1841000.0,37000.0,1062000,2040608
3,End Cash Position,672000.0,672000.0,108000.0,123000,214516
4,Income Tax Paid Supplemental Data,0,0,0,0,689
5,Interest Paid Supplemental Data,0,0,235000.0,237000,113932
6,Capital Expenditure,2299000.0,2299000.0,2044000.0,3702000,3482825
7,Issuance of Capital Stock,0.0,0.0,0.0,1106000,305773
8,Issuance of Debt,3513000.0,3513000.0,2127000.0,5819000,3713500
9,Repayment of Debt,4371000.0,4371000.0,1719000.0,5012000,1800500
10,Repurchase of Capital Stock,525000.0,525000.0,137000.0,606000,14460
11,Free Cash Flow,1645000.0,1645000.0,74000.0,968000,1918320
