,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,688700.0,688700.0,825700,637200,604000
1,Investing Cash Flow,207100.0,207100.0,923500,127600,634300
2,Financing Cash Flow,428600.0,428600.0,111600,389700,6800
3,End Cash Position,476100.0,476100.0,425000,394900,270700
4,Income Tax Paid Supplemental Data,0,0,175500,144500,114200
5,Interest Paid Supplemental Data,0,0,76200,81000,63400
6,Capital Expenditure,214200.0,214200.0,150500,131800,150100
7,Issuance of Debt,135000.0,135000.0,1850000,1719300,2716200
8,Repayment of Debt,0,0,1465000,1345000,1890000
9,Repurchase of Capital Stock,447700.0,447700.0,187600,100000,694600
10,Free Cash Flow,474500.0,474500.0,675200,505400,453900
