,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,4735000.0,3332000,3597000.0,8772000,4246000
1,Investing Cash Flow,20662000.0,21308000,16642000.0,8939000,18239000
2,Financing Cash Flow,45031000.0,45177000,19852000.0,16133000,31033000
3,Cash Flow from Discontinued Operation,799000.0,736000,0,638000,528000
4,End Cash Position,13057000.0,16123000,37608000.0,36439000,35020000
5,Interest Paid Supplemental Data,0,2536000,2976000.0,3816000,4409000
6,Capital Expenditure,1368000.0,1361000,3403000.0,6095000,8056000
7,Issuance of Debt,50000.0,364000,15028000.0,2185000,3201000
8,Repayment of Debt,36276000.0,36521000,29876000.0,16567000,21166000
9,Free Cash Flow,3367000.0,1971000,194000.0,2677000,3810000
