,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1258285,1258285,2019561,892010,1145164
1,Investing Cash Flow,506164,506164,171637,563206,496124
2,Financing Cash Flow,989532,989532,1513765,385962,608830
3,End Cash Position,714701,714701,990166,276992,333547
4,Income Tax Paid Supplemental Data,305326,305326,223019,303736,236536
5,Interest Paid Supplemental Data,65732,65732,91344,95281,102131
6,Capital Expenditure,266136,266136,153502,297869,232422
7,Issuance of Debt,892694,892694,2638014,5037168,5064291
8,Repayment of Debt,1053423,1053423,3533017,4897769,5124265
9,Repurchase of Capital Stock,333599,333599,96215,74187,91983
10,Free Cash Flow,992149,992149,1866059,594141,912742
