,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1911000,1911000,1881000,2445000.0,3157000.0
1,Investing Cash Flow,534000,534000,486000,1445000.0,1993000.0
2,Financing Cash Flow,838000,838000,1007000,695000.0,1419000.0
3,End Cash Position,3044000,3044000,2563000,2268000.0,2008000.0
4,Income Tax Paid Supplemental Data,214000,214000,300000,363000.0,178000.0
5,Interest Paid Supplemental Data,517000,517000,509000,534000.0,556000.0
6,Capital Expenditure,799000,799000,728000,1530000.0,2026000.0
7,Issuance of Capital Stock,79000,79000,87000,118000.0,195000.0
8,Issuance of Debt,0,0,994000,0,0
9,Repayment of Debt,700000,700000,1654000,13000.0,445000.0
10,Repurchase of Capital Stock,0,0,100000,100000.0,400000.0
11,Free Cash Flow,1112000,1112000,1153000,915000.0,1131000.0
