,Breakdown,ttm,10/31/2021,10/31/2020,10/31/2019,10/31/2018
0,Operating Cash Flow,7044000.0,6409000,4316000,4654000,4528000
1,Investing Cash Flow,1289000.0,1012000,1016000,438000,716000
2,Financing Cash Flow,6521000.0,5962000,2973000,4845000,5643000
3,End Cash Position,3394000.0,4299000,4864000,4537000,5166000
4,Income Tax Paid Supplemental Data,0,1548000,464000,89000,951000
5,Interest Paid Supplemental Data,0,261000,227000,240000,329000
6,Capital Expenditure,724000.0,582000,580000,671000,546000
7,Issuance of Debt,2534000.0,2521000,3108000,127000,1455000
8,Repayment of Debt,1627000.0,1245000,1849000,1536000,3694000
9,Repurchase of Capital Stock,6379000.0,6249000,3107000,2405000,2557000
10,Free Cash Flow,6320000.0,5827000,3736000,3983000,3982000
