,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,602000.0,292000,307000.0,1250000.0,1300000.0
1,Investing Cash Flow,975000.0,1158000,195000.0,58000.0,100000.0
2,Financing Cash Flow,1339000.0,657000,1231000.0,1315000.0,748000.0
3,End Cash Position,429000.0,953000,2476000.0,1750000.0,1756000.0
4,Capital Expenditure,456000.0,427000,499000.0,558000.0,474000.0
5,Issuance of Capital Stock,0,138000,0,0,0
6,Issuance of Debt,0,443000,2985000.0,645000.0,360000.0
7,Repayment of Debt,1883000.0,1200000,1212000.0,706000.0,463000.0
8,Repurchase of Capital Stock,0,0,169000.0,482000.0,0.0
9,Free Cash Flow,146000.0,135000,806000.0,692000.0,826000.0
