,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,565300.0,565300.0,569273,528062,479345
1,Investing Cash Flow,698100.0,698100.0,172577,137015,81431
2,Financing Cash Flow,9500.0,9500.0,42602,227585,290011
3,End Cash Position,855400.0,855400.0,1025851,632581,466407
4,Income Tax Paid Supplemental Data,0,0,87193,109032,90733
5,Interest Paid Supplemental Data,0,0,35152,36683,36327
6,Capital Expenditure,72700.0,72700.0,51545,50912,60089
7,Issuance of Debt,499400.0,499400.0,649100,0,0
8,Repayment of Debt,350100.0,350100.0,450396,50057,11284
9,Repurchase of Capital Stock,6100.0,6100.0,110342,54668,173926
10,Free Cash Flow,492600.0,492600.0,517728,477150,419256
