,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,29991000,29991000,35384000,33145000,29432000
1,Investing Cash Flow,25167000,25167000,20796000,14405000,11239000
2,Financing Cash Flow,5862000,5862000,12917000,17565000,18607000
3,End Cash Position,4827000,4827000,5865000,4194000,3019000
4,Income Tax Paid Supplemental Data,2263000,2263000,2436000,2110000,3813000
5,Interest Paid Supplemental Data,545000,545000,594000,469000,448000
6,Capital Expenditure,20329000,20329000,14453000,16213000,15181000
7,Issuance of Debt,4974000,4974000,10247000,3392000,423000
8,Repayment of Debt,2500000,2500000,4525000,2627000,3026000
9,Repurchase of Capital Stock,2415000,2415000,14229000,13576000,10730000
10,Free Cash Flow,9662000,9662000,20931000,16932000,14251000
