,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,389700,389700,285335,323521,393301
1,Investing Cash Flow,416282,416282,99574,139975,562999
2,Financing Cash Flow,125066,125066,10080,37067,166647
3,End Cash Position,709105,709105,878553,682984,544358
4,Income Tax Paid Supplemental Data,62998,62998,85861,116951,112762
5,Interest Paid Supplemental Data,2714,2714,2234,2683,3052
6,Capital Expenditure,123108,123108,87696,133536,160343
7,Issuance of Debt,0,0,0,15,255
8,Repayment of Debt,3810,3810,3740,3686,3859
9,Repurchase of Capital Stock,134889,134889,37884,40732,176065
10,Free Cash Flow,266592,266592,197639,189985,232958
