,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,3109600.0,3109600.0,2135300.0,1444700.0,1305400
1,Investing Cash Flow,884600.0,884600.0,643200.0,1283100.0,206700
2,Financing Cash Flow,2065800.0,2065800.0,517400.0,252700.0,1389900
3,End Cash Position,1472700.0,1472700.0,1320800.0,337500.0,426800
4,Income Tax Paid Supplemental Data,0,0,0,0,349700
5,Interest Paid Supplemental Data,0,0,0,0,296200
6,Capital Expenditure,460400.0,460400.0,381700.0,400200.0,379800
7,Issuance of Debt,1000000.0,1000000.0,151700.0,2395000.0,467200
8,Repayment of Debt,1375000.0,1375000.0,563900.0,2184900.0,1171800
9,Repurchase of Capital Stock,1668500.0,1668500.0,100000.0,450000.0,700000
10,Free Cash Flow,2649200.0,2649200.0,1753600.0,1044500.0,925600
