,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,930000.0,930000.0,953000.0,833000.0,1032000
1,Investing Cash Flow,12000.0,12000.0,531000.0,582000.0,651000
2,Financing Cash Flow,1298000.0,1298000.0,886000.0,1291000.0,1020000
3,End Cash Position,926000.0,926000.0,1326000.0,697000.0,559000
4,Capital Expenditure,128000.0,128000.0,114000.0,162000.0,219000
5,Issuance of Capital Stock,0,0,0,0,0
6,Issuance of Debt,1481000.0,1481000.0,415000.0,0.0,0
7,Repayment of Debt,1329000.0,1329000.0,402000.0,209000.0,115000
8,Repurchase of Capital Stock,1026000.0,1026000.0,727000.0,896000.0,654000
9,Free Cash Flow,802000.0,802000.0,839000.0,671000.0,813000
