,Breakdown,ttm,11/30/2021,11/30/2020,11/30/2019,11/30/2018
0,Operating Cash Flow,828300.0,828300.0,1041300.0,946800,821200
1,Investing Cash Flow,908600.0,908600.0,1025600.0,171000,158500
2,Financing Cash Flow,22000.0,22000.0,220900.0,725800,751100
3,End Cash Position,351700.0,351700.0,423600.0,155400,96600
4,Capital Expenditure,278000.0,278000.0,225300.0,173700,169100
5,Issuance of Capital Stock,0,0,0,0,0
6,Issuance of Debt,1001500.0,1001500.0,527000.0,0,25900
7,Repayment of Debt,257100.0,257100.0,257700.0,447700,797900
8,Repurchase of Capital Stock,8600.0,8600.0,47300.0,95100,62300
9,Free Cash Flow,550300.0,550300.0,816000.0,773100,652100
