,Breakdown,ttm,10/31/2021,10/31/2020,10/31/2019,10/31/2018
0,Operating Cash Flow,520725,545927,502421,382893,504638
1,Investing Cash Flow,209371,33169,194109,76289,139918
2,Financing Cash Flow,362537,422913,251529,251074,353690
3,End Cash Position,174555,299972,208293,151164,95678
4,Capital Expenditure,42877,38303,50535,64244,89790
5,Issuance of Capital Stock,30063,31780,50853,26020,18811
6,Issuance of Debt,165734,9414,165734,186635,586657
7,Repayment of Debt,206978,305454,327155,259332,860877
8,Repurchase of Capital Stock,90662,60970,52614,120510,24012
9,Free Cash Flow,477848,507624,451886,318649,414848
