,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,7553000.0,7553000.0,7983000.0,8155000.0,6593000.0
1,Investing Cash Flow,13591000.0,13591000.0,13699000.0,16177000.0,10950000.0
2,Financing Cash Flow,5807000.0,5807000.0,6174000.0,3873000.0,7634000.0
3,End Cash Position,1316000.0,1316000.0,1546000.0,1108000.0,5253000.0
4,Income Tax Paid Supplemental Data,69000.0,69000.0,235000.0,184000.0,200000.0
5,Interest Paid Supplemental Data,1323000.0,1323000.0,1432000.0,1799000.0,1209000.0
6,Capital Expenditure,7830000.0,7830000.0,7759000.0,11077000.0,6010000.0
7,Issuance of Capital Stock,14000.0,14000.0,0,1494000.0,718000.0
8,Issuance of Debt,16683000.0,16683000.0,14562000.0,14119000.0,11126000.0
9,Repayment of Debt,10020000.0,10020000.0,9170000.0,10491000.0,3557000.0
10,Repurchase of Capital Stock,0,0,92000.0,0,0
11,Free Cash Flow,277000.0,277000.0,224000.0,2922000.0,583000.0
