,Breakdown,ttm,5/31/2021,5/31/2020,5/31/2019,5/31/2018
0,Operating Cash Flow,0,6657000,2485000.0,5903000,4955000.0
1,Investing Cash Flow,0,3800000,1028000.0,264000,276000.0
2,Financing Cash Flow,0,1459000,2491000.0,5293000,4835000.0
3,End Cash Position,0,9889000,8348000.0,4466000,4249000.0
4,Income Tax Paid Supplemental Data,0,1177000,1028000.0,757000,529000.0
5,Interest Paid Supplemental Data,0,293000,140000.0,153000,125000.0
6,Capital Expenditure,0,695000,1086000.0,1119000,1028000.0
7,Issuance of Debt,0,0,6134000.0,0,0
8,Repayment of Debt,0,197000,0,33000,29000.0
9,Repurchase of Capital Stock,0,608000,3067000.0,4286000,4254000.0
10,Free Cash Flow,0,5962000,1399000.0,4784000,3927000.0
