,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,884000.0,884000.0,1432000,1044000.0,680000.0
1,Investing Cash Flow,268000.0,268000.0,228000,735400.0,4807400.0
2,Financing Cash Flow,1143000.0,1143000.0,559000,1903600.0,5454500.0
3,End Cash Position,477000.0,477000.0,1021000,370900.0,495700.0
4,Income Tax Paid Supplemental Data,165000.0,165000.0,106000,156000.0,0
5,Interest Paid Supplemental Data,271000.0,271000.0,281000,304400.0,0
6,Capital Expenditure,289000.0,289000.0,259000,264900.0,384400.0
7,Issuance of Debt,0.0,0.0,491000,0,0.0
8,Repayment of Debt,704000.0,704000.0,625000,1311000.0,2590300.0
9,Repurchase of Capital Stock,0,0,0,0.0,1526100.0
10,Free Cash Flow,595000.0,595000.0,1173000,779100.0,295600.0
