,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,11616000,11616000,10613000,9649000.0,9415000
1,Investing Cash Flow,3269000,3269000,11619000,6437000.0,4564000
2,Financing Cash Flow,10780000,10780000,3819000,8489000.0,13769000
3,End Cash Position,5707000,5707000,8254000,5570000.0,10769000
4,Income Tax Paid Supplemental Data,1933000,1933000,1770000,0,1203000
5,Interest Paid Supplemental Data,1184000,1184000,1156000,0,1388000
6,Capital Expenditure,4625000,4625000,4240000,4232000.0,3282000
7,Issuance of Debt,4564000,4564000,17886000,4627000.0,3000
8,Repayment of Debt,8696000,8696000,6593000,4982000.0,6965000
9,Repurchase of Capital Stock,106000,106000,2000000,3000000.0,2002000
10,Free Cash Flow,6991000,6991000,6373000,5417000.0,6133000
