,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,6017000,6017000,2111000,4808000,7573000
1,Investing Cash Flow,1872000,1872000,3079000,3688000,2471000
2,Financing Cash Flow,3470000,3470000,1791000,2511000,5167000
3,End Cash Position,3147000,3147000,2514000,1614000,3019000
4,Capital Expenditure,1860000,1860000,2920000,3873000,2639000
5,Issuance of Capital Stock,26000,26000,10000,205000,167000
6,Issuance of Debt,1443000,1443000,5178000,1783000,2184000
7,Repayment of Debt,2954000,2954000,1051000,1307000,1144000
8,Repurchase of Capital Stock,0,0,443000,1650000,4645000
9,Free Cash Flow,4157000,4157000,809000,935000,4934000
