,Breakdown,ttm,9/30/2021,9/30/2020,9/30/2019,9/30/2018
0,Operating Cash Flow,2417000.0,6625000,4054000,577000,1903327
1,Investing Cash Flow,5572000.0,5140000,4985000,1897000,3475914
2,Financing Cash Flow,5860000.0,5254000,4593000,1373000,1420182
3,End Cash Position,14101000.0,16449000,9634000,5971000,3500306
4,Income Tax Paid Supplemental Data,382000.0,437000,246000,390000,231136
5,Interest Paid Supplemental Data,151000.0,145000,164000,283000,200928
6,Capital Expenditure,68000.0,74000,124000,138000,133586
7,Issuance of Debt,0,737000,1344000,1150000,1150000
8,Repayment of Debt,850000.0,875000,855000,1155000,1154952
9,Repurchase of Capital Stock,144000.0,128000,272000,778000,61971
10,Free Cash Flow,2349000.0,6551000,3930000,439000,1769741
