,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,879642,879642,904363,778424.0,651563.0
1,Investing Cash Flow,27121197,27121197,11878559,2634356.0,4289134.0
2,Financing Cash Flow,43513895,43513895,22532698,2328509.0,3619360.0
3,End Cash Position,29620671,29620671,12348331,789832.0,317255.0
4,Income Tax Paid Supplemental Data,353348,353348,237668,206965.0,107527.0
5,Interest Paid Supplemental Data,324761,324761,425604,601534.0,402717.0
6,Capital Expenditure,32196,32196,35042,32937.0,11487.0
7,Issuance of Capital Stock,0,0,708018,0,0
8,Issuance of Debt,1750000,1750000,2492102,3147144.0,4415000.0
9,Repayment of Debt,2210000,2210000,3420000,4445000.0,3610000.0
10,Free Cash Flow,847446,847446,869321,745487.0,640076.0
