,Breakdown,ttm,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,0,1445487,1164129.0,933562.0
1,Investing Cash Flow,0,31205721,9371882.0,4800375.0
2,Financing Cash Flow,0,40653214,11417997.0,4515277.0
3,End Cash Position,0,17674763,6781783.0,3571539.0
4,Income Tax Paid Supplemental Data,0,299175,422346.0,376425.0
5,Interest Paid Supplemental Data,0,83746,217961.0,75601.0
6,Capital Expenditure,0,87407,65479.0,45865.0
7,Issuance of Capital Stock,0,31146,364956.0,18387.0
8,Issuance of Debt,0,495024,0,0
9,Repayment of Debt,0,0,358395.0,0.0
10,Repurchase of Capital Stock,0,60020,352511.0,147123.0
11,Free Cash Flow,0,1358080,1098650.0,887697.0
