,Breakdown,ttm,10/31/2021,10/31/2020,10/31/2019,10/31/2018
0,Operating Cash Flow,1474408.0,1492622,991313,800513,424232
1,Investing Cash Flow,513595.0,549030,360418,235877,743525
2,Financing Cash Flow,850281.0,748748,140606,561892,5138
3,End Cash Position,1135937.0,1435183,1237970,730527,723115
4,Income Tax Paid Supplemental Data,0,149762,70711,75744,252522
5,Interest Paid Supplemental Data,0,3365,5136,12363,15307
6,Capital Expenditure,109195.0,95740,158762,202388,101926
7,Issuance of Capital Stock,226462.0,210719,197403,156364,123829
8,Issuance of Debt,0,0,276489,192897,620635
9,Repayment of Debt,98305.0,28061,288879,524063,295313
10,Repurchase of Capital Stock,760210.0,753081,242078,329185,400000
11,Free Cash Flow,1365213.0,1396882,832551,598125,322306
