,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,3637402,3637402,2326698,3807831.0,3750796.0
1,Investing Cash Flow,552764,552764,3978398,1076707.0,236506.0
2,Financing Cash Flow,3562315,3562315,1993940,2576086.0,4482264.0
3,End Cash Position,533936,533936,1011613,669373.0,514335.0
4,Capital Expenditure,527935,527935,484119,876011.0,781909.0
5,Issuance of Capital Stock,338121,338121,1556148,0,0
6,Issuance of Debt,9251217,9251217,15234860,13312301.0,7973719.0
7,Repayment of Debt,10076809,10076809,12955275,12427699.0,9118685.0
8,Repurchase of Capital Stock,4866,4866,169549,369902.0,438854.0
9,Free Cash Flow,3109467,3109467,1842579,2931820.0,2968887.0
