,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,3598000,3598000,3567000,2776000,2064000
1,Investing Cash Flow,120000,120000,240000,131000,513000
2,Financing Cash Flow,1013000,1013000,2166000,1751000,2288000
3,End Cash Position,6505000,6505000,4122000,2886000,1958000
4,Income Tax Paid Supplemental Data,883000,883000,683000,659000,558000
5,Interest Paid Supplemental Data,130000,130000,159000,162000,151000
6,Capital Expenditure,35000,35000,76000,115000,113000
7,Issuance of Debt,0,0,1276000,1086000,489000
8,Repayment of Debt,0,0,1394000,868000,403000
9,Repurchase of Capital Stock,0,0,1164000,1240000,1660000
10,Free Cash Flow,3563000,3563000,3491000,2661000,1951000
