,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,663100,663100,2022100,1505700,1260900
1,Investing Cash Flow,2623800,2623800,1577100,1208600,989100
2,Financing Cash Flow,918700,918700,615900,292500,561600
3,End Cash Position,294800,294800,1398300,314600,311400
4,Capital Expenditure,519100,519100,348100,424700,492100
5,Issuance of Capital Stock,131400,131400,897000,881000,38500
6,Issuance of Debt,0,0,2173800,496200,990000
7,Repayment of Debt,1500,1500,1154300,1150000,977500
8,Repurchase of Capital Stock,784300,784300,26200,27500,527100
9,Free Cash Flow,144000,144000,1674000,1081000,768800
