,Breakdown,ttm,9/30/2021,9/30/2020,9/30/2019,9/30/2018
0,Operating Cash Flow,1868600.0,1772000,1204500.0,1367400.0,1260600.0
1,Investing Cash Flow,3120200.0,3133200,581400.0,336900.0,1150400.0
2,Financing Cash Flow,1510800.0,1677400,907700.0,912500.0,993700.0
3,End Cash Position,876400.0,882900,566700.0,851300.0,733300.0
4,Income Tax Paid Supplemental Data,188600.0,184000,110800.0,124400.0,135900.0
5,Interest Paid Supplemental Data,18900.0,2200,0,0,0
6,Capital Expenditure,630500.0,652100,398500.0,423400.0,430900.0
7,Issuance of Debt,0,2488200,0,0,0
8,Repayment of Debt,300000.0,250000,0,0,0
9,Repurchase of Capital Stock,357000.0,250800,680600.0,680400.0,807500.0
10,Free Cash Flow,1238100.0,1119900,806000.0,944000.0,829700.0
