,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1098366.0,1098366.0,868935.0,578750.0,476881.0
1,Investing Cash Flow,120361.0,120361.0,569794.0,156660.0,923010.0
2,Financing Cash Flow,1008584.0,1008584.0,158286.0,574349.0,903421.0
3,End Cash Position,1122199.0,1122199.0,914121.0,773924.0,926752.0
4,Income Tax Paid Supplemental Data,172134.0,172134.0,106577.0,81410.0,72811.0
5,Interest Paid Supplemental Data,4236.0,4236.0,6435.0,5996.0,6205.0
6,Capital Expenditure,132472.0,132472.0,184977.0,134642.0,114379.0
7,Issuance of Capital Stock,0,0,0,29312.0,20973.0
8,Issuance of Debt,0,0,0,0,0.0
9,Repayment of Debt,342990.0,342990.0,0,0,0
10,Repurchase of Capital Stock,600000.0,600000.0,88465.0,500000.0,823478.0
11,Free Cash Flow,965894.0,965894.0,683958.0,444108.0,362502.0
