,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,7274000,7274000,6519000,5205000,4380000
1,Investing Cash Flow,5196000,5196000,4892000,2902000,2329000
2,Financing Cash Flow,2037000,2037000,1416000,2187000,2012000
3,End Cash Position,761000,761000,721000,494000,373000
4,Income Tax Paid Supplemental Data,707000,707000,578000,428000,408000
5,Interest Paid Supplemental Data,337000,337000,339000,338000,347000
6,Issuance of Debt,739000,739000,490000,492000,591000
7,Repayment of Debt,0,0,500000,500000,600000
8,Repurchase of Capital Stock,2200000,2200000,672000,1548000,1321000
9,Free Cash Flow,7274000,7274000,6519000,5205000,4380000
