,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1138720,1138720,1394515,811716,694394
1,Investing Cash Flow,627340,627340,292210,214961,276314
2,Financing Cash Flow,975106,975106,155210,598813,440929
3,End Cash Position,878030,878030,1341756,84241,86299
4,Income Tax Paid Supplemental Data,291665,291665,235319,144377,146918
5,Interest Paid Supplemental Data,23601,23601,24540,19146,18069
6,Capital Expenditure,628431,628431,294002,217450,278530
7,Issuance of Capital Stock,82249,82249,99340,115981,79643
8,Issuance of Debt,0,0,2009000,1002000,1193500
9,Repayment of Debt,4580,4580,1410670,1016958,1215496
10,Repurchase of Capital Stock,813769,813769,350756,537137,351143
11,Free Cash Flow,510289,510289,1100513,594266,415864
