,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,883695,883695,2360169,1438469,1340893
1,Investing Cash Flow,914466,914466,802562,688410,813398
2,Financing Cash Flow,1068950,1068950,384859,845036,492202
3,End Cash Position,178934,178934,1279154,105667,199685
4,Income Tax Paid Supplemental Data,362978,362978,286247,260622,293837
5,Interest Paid Supplemental Data,75607,75607,112598,157406,150293
6,Capital Expenditure,855659,855659,786218,663518,811669
7,Issuance of Capital Stock,13372,13372,12318,10806,10196
8,Issuance of Debt,3254974,3254974,801599,39220,791247
9,Repayment of Debt,3037868,3037868,962567,57142,830496
10,Repurchase of Capital Stock,1220875,1220875,206719,770504,397425
11,Free Cash Flow,28036,28036,1573951,774951,529224
