,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,22343000,22343000,22174000,18463000,15713000
1,Investing Cash Flow,10372000,10372000,12532000,12699000,12385000
2,Financing Cash Flow,7455000,7455000,3590000,5625000,4365000
3,End Cash Position,21375000,21375000,16921000,10985000,10866000
4,Income Tax Paid Supplemental Data,3966000,3966000,4935000,3542000,3257000
5,Interest Paid Supplemental Data,1653000,1653000,1704000,1627000,1410000
6,Capital Expenditure,2454000,2454000,2051000,2071000,2063000
7,Issuance of Capital Stock,1355000,1355000,1440000,1037000,838000
8,Issuance of Debt,6933000,6933000,4864000,5744000,6935000
9,Repayment of Debt,3150000,3150000,3150000,1750000,2801000
10,Repurchase of Capital Stock,5000000,5000000,4250000,5500000,4500000
11,Free Cash Flow,19889000,19889000,20123000,16392000,13650000
