,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,2643500.0,2643500.0,3253505.0,1569330,1270286
1,Investing Cash Flow,340900.0,340900.0,99388.0,1235318,202158
2,Financing Cash Flow,1478000.0,1478000.0,505281.0,126773,71219
3,End Cash Position,6800100.0,6800100.0,5988845.0,3120681,2658253
4,Income Tax Paid Supplemental Data,476300.0,476300.0,191776.0,24730,12402
5,Interest Paid Supplemental Data,56300.0,56300.0,54520.0,55554,66458
6,Capital Expenditure,235000.0,235000.0,259798.0,75451,95524
7,Issuance of Capital Stock,0,0,0,343244,289293
8,Issuance of Debt,22600.0,22600.0,13251.0,10046,20840
9,Repayment of Debt,47000.0,47000.0,42275.0,39185,33388
10,Repurchase of Capital Stock,1561300.0,1561300.0,739407.0,192015,350043
11,Free Cash Flow,2408500.0,2408500.0,2993707.0,1493879,1174762
