,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,1026116,1026116,1450176,1437783,1381467
1,Investing Cash Flow,724140,724140,154295,1585299,324496
2,Financing Cash Flow,558466,558466,1300021,160674,1761937
3,End Cash Position,196597,196597,451640,146102,131464
4,Interest Paid Supplemental Data,402025,402025,429636,410584,406907
5,Capital Expenditure,432969,432969,528647,560647,462734
6,Issuance of Capital Stock,617438,617438,55362,942085,0
7,Issuance of Debt,1534298,1534298,733298,3013191,2549473
8,Repayment of Debt,2109617,2109617,568407,3193807,3144116
9,Repurchase of Capital Stock,96,96,575,2203,1370
10,Free Cash Flow,593147,593147,921529,877136,918733
