,Breakdown,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Operating Cash Flow,3016900.0,3016900.0,1231800,1803700.0,2341700
1,Investing Cash Flow,117800.0,117800.0,301100,525400.0,1210400
2,Financing Cash Flow,3012000.0,3012000.0,605700,1169000.0,1090900
3,End Cash Position,706200.0,706200.0,850000,491100.0,389300
4,Income Tax Paid Supplemental Data,641700.0,641700.0,324400,278600.0,228600
5,Interest Paid Supplemental Data,684800.0,684800.0,555400,470600.0,460800
6,Capital Expenditure,509400.0,509400.0,681200,406000.0,1195600
7,Issuance of Debt,1710100.0,1710100.0,983300,7400.0,2577900
8,Repayment of Debt,4201300.0,4201300.0,2484200,1108500.0,3165200
9,Repurchase of Capital Stock,0,0,0,0,432000
10,Free Cash Flow,2507500.0,2507500.0,550600,1397700.0,1146100
