,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
1,2021-05-03,109.410004,110.339996,109.129997,109.230003,104.413177,915700
2,2021-05-04,109.480003,109.610001,108.000000,109.110001,104.298470,1325100
3,2021-05-05,107.599998,108.010002,105.980003,106.940002,103.122025,1417800
4,2021-05-06,107.199997,107.820000,106.239998,107.629997,103.787392,1397700
5,2021-05-07,107.389999,109.000000,107.389999,108.309998,104.443115,833700
6,2021-05-10,108.940002,109.800003,108.650002,109.110001,105.214554,960200
7,2021-05-11,109.080002,109.349998,106.129997,107.029999,103.208809,974400
8,2021-05-12,106.980003,106.980003,103.849998,103.879997,100.171265,1073000
9,2021-05-13,104.050003,106.949997,103.879997,106.059998,102.273438,1279400
10,2021-05-14,106.400002,107.620003,106.400002,107.180000,103.353455,719000
11,2021-05-17,107.279999,107.489998,105.519997,105.519997,101.752716,1102400
12,2021-05-18,105.190002,105.980003,104.669998,105.529999,101.762375,1445700
13,2021-05-19,105.250000,105.480003,103.820000,105.010002,101.260925,865300
14,2021-05-20,104.900002,106.559998,104.900002,105.739998,101.964867,717300
15,2021-05-21,106.010002,106.790001,105.610001,106.639999,102.832733,1901500
16,2021-05-24,106.970001,107.080002,106.150002,106.800003,102.987022,936500
17,2021-05-25,106.860001,106.860001,105.589996,105.919998,102.138435,908300
18,2021-05-26,105.889999,106.110001,105.150002,105.330002,101.569511,840800
19,2021-05-27,105.849998,105.849998,104.769997,104.800003,101.058426,1007500
20,2021-05-28,105.320000,105.739998,104.750000,105.260002,101.502007,722600
21,2021-06-01,105.500000,105.750000,104.260002,104.629997,100.894493,889500
22,2021-06-02,104.599998,105.309998,103.970001,104.680000,100.942703,882000
23,2021-06-03,104.110001,106.059998,103.970001,105.809998,102.032364,710400
24,2021-06-04,106.000000,106.320000,105.620003,105.919998,102.138435,570800
25,2021-06-07,106.290001,106.680000,105.860001,106.589996,102.784523,714000
26,2021-06-08,106.470001,106.769997,105.260002,106.129997,102.340942,869500
27,2021-06-09,106.559998,107.870003,106.010002,107.620003,103.777748,866900
28,2021-06-10,107.849998,108.930000,107.379997,108.660004,104.780617,719300
29,2021-06-11,108.139999,109.000000,107.750000,108.940002,105.050629,639300
30,2021-06-14,109.139999,109.139999,108.199997,108.900002,105.012047,943400
31,2021-06-15,109.019997,109.730003,108.690002,109.230003,105.330269,917700
32,2021-06-16,109.839996,110.230003,107.209999,107.400002,103.565598,1175500
33,2021-06-17,107.169998,108.370003,106.699997,107.650002,103.806679,920300
34,2021-06-18,107.349998,107.349998,102.930000,103.389999,99.698761,2564400
35,2021-06-21,103.750000,105.010002,103.410004,104.489998,100.759491,1141500
36,2021-06-22,104.199997,104.489998,103.220001,103.220001,99.534843,952700
37,2021-06-23,103.000000,103.019997,101.260002,101.379997,97.760529,1056200
38,2021-06-24,101.639999,101.779999,100.529999,100.959999,97.355530,1012600
39,2021-06-25,100.809998,101.610001,100.459999,101.580002,97.953400,1311700
40,2021-06-28,101.790001,102.589996,101.459999,102.330002,98.676613,892500
41,2021-06-29,102.000000,102.510002,100.160004,100.459999,96.873375,1056500
42,2021-06-30,100.599998,100.820000,99.269997,99.699997,96.140503,1195100
43,2021-07-01,99.699997,102.080002,99.489998,101.559998,97.934097,771300
44,2021-07-02,101.709999,102.080002,101.059998,101.809998,98.175171,776100
45,2021-07-06,101.500000,102.370003,100.489998,102.309998,98.657326,774200
46,2021-07-07,102.160004,102.839996,101.599998,102.790001,99.120193,775900
47,2021-07-08,102.260002,102.839996,101.959999,102.269997,98.618752,794100
48,2021-07-09,102.720001,103.190002,101.949997,102.919998,99.245544,673500
49,2021-07-12,102.519997,103.250000,102.129997,103.040001,99.361267,595100
50,2021-07-13,103.080002,103.190002,101.269997,101.660004,98.030533,570200
51,2021-07-14,101.730003,103.080002,101.220001,102.529999,98.869469,641900
52,2021-07-15,102.180000,103.720001,102.089996,103.620003,99.920563,977400
53,2021-07-16,103.790001,105.339996,103.389999,104.720001,100.981293,749200
54,2021-07-19,104.050003,104.459999,100.199997,101.610001,97.982315,1157000
