,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
1,2021-05-03,18.430000,18.520000,17.990000,18.070000,18.042648,13474700
2,2021-05-04,17.940001,18.080000,17.420000,17.570000,17.543406,8602900
3,2021-05-05,17.740000,18.090000,17.400000,17.530001,17.503468,11792700
4,2021-05-06,17.959999,18.000000,16.940001,17.120001,17.094088,11269700
5,2021-05-07,17.059999,17.650000,16.930000,17.580000,17.553391,9346200
6,2021-05-10,17.670000,17.750000,17.040001,17.110001,17.084103,9378700
7,2021-05-11,16.860001,17.090000,16.680000,16.990000,16.964283,8762200
8,2021-05-12,16.950001,17.150000,16.440001,16.510000,16.485010,5666900
9,2021-05-13,16.600000,16.990000,16.530001,16.700001,16.674725,6022700
10,2021-05-14,17.020000,17.500000,16.870001,17.330000,17.303770,4986400
11,2021-05-17,17.219999,17.410000,17.090000,17.379999,17.353693,6969600
12,2021-05-18,17.340000,17.610001,17.150000,17.350000,17.323740,10781300
13,2021-05-19,17.200001,17.200001,16.730000,17.010000,16.984255,5569100
14,2021-05-20,17.010000,17.049999,16.570000,16.969999,16.944313,11607300
15,2021-05-21,16.940001,17.080000,16.770000,16.940001,16.914360,11421900
16,2021-05-24,17.010000,17.129999,16.840000,17.010000,16.984255,7819900
17,2021-05-25,17.240000,17.320000,16.760000,16.790001,16.764587,7784300
18,2021-05-26,17.020000,17.250000,16.690001,17.059999,17.034178,5454700
19,2021-05-27,17.219999,17.320000,16.969999,17.129999,17.104071,26333800
20,2021-05-28,17.330000,17.370001,16.940001,17.170000,17.144012,5243500
21,2021-06-01,17.420000,17.690001,17.270000,17.670000,17.643255,5708400
22,2021-06-02,17.790001,17.870001,17.570000,17.700001,17.673210,8412200
23,2021-06-03,17.590000,17.740000,17.330000,17.430000,17.403618,5626000
24,2021-06-04,17.520000,17.590000,17.330000,17.480000,17.453543,4603800
25,2021-06-07,17.480000,18.020000,17.480000,17.799999,17.773058,5599600
26,2021-06-08,17.790001,18.129999,17.650000,18.100000,18.072605,6327500
27,2021-06-09,18.139999,18.160000,17.790001,17.809999,17.783043,6264200
28,2021-06-10,17.900000,18.040001,17.639999,18.010000,17.982740,13468000
29,2021-06-11,17.830000,18.049999,17.830000,17.910000,17.882891,4150700
30,2021-06-14,18.030001,18.160000,17.530001,17.670000,17.643255,5425000
31,2021-06-15,17.480000,17.860001,17.360001,17.750000,17.723133,6992400
32,2021-06-16,17.780001,18.059999,17.559999,17.959999,17.932816,5541300
33,2021-06-17,18.030001,18.139999,17.700001,17.799999,17.773058,11403000
34,2021-06-18,17.549999,17.700001,17.090000,17.139999,17.114056,18259000
35,2021-06-21,17.320000,17.639999,17.180000,17.629999,17.603313,4997700
36,2021-06-22,17.639999,17.690001,17.290001,17.500000,17.473513,3613900
37,2021-06-23,17.570000,17.879999,17.570000,17.610001,17.583345,4903400
38,2021-06-24,17.620001,17.709999,17.350000,17.629999,17.603313,6064900
39,2021-06-25,17.730000,17.730000,17.309999,17.570000,17.543406,7919400
40,2021-06-28,17.570000,17.570000,16.590000,16.950001,16.924345,12890600
41,2021-06-29,17.020000,17.200001,16.850000,16.920000,16.894390,7535700
42,2021-06-30,16.940001,17.230000,16.850000,17.090000,17.064133,6020700
43,2021-07-01,17.200001,17.500000,17.180000,17.320000,17.293783,5249900
