,0
0,"                           0       1
0      Market Cap (intraday)  12.29B
1           Enterprise Value  14.53B
2               Trailing P/E   32.07
3                Forward P/E   12.52
4  PEG Ratio (5 yr expected)    1.39
5          Price/Sales (ttm)    1.56
6           Price/Book (mrq)     NaN
7   Enterprise Value/Revenue    1.74
8    Enterprise Value/EBITDA   13.01"
1,"                          0        1
0         Beta (5Y Monthly)     1.35
1          52-Week Change 3  -19.81%
2   S&P500 52-Week Change 3    8.73%
3            52 Week High 3    71.06
4             52 Week Low 3    49.78
5   50-Day Moving Average 3    55.94
6  200-Day Moving Average 3    60.80"
2,"                                                 0        1
0                              Avg Vol (3 month) 3    2.48M
1                               Avg Vol (10 day) 3    2.19M
2                             Shares Outstanding 5  236.52M
3                     Implied Shares Outstanding 6      NaN
4                                          Float 8  238.42M
5                             % Held by Insiders 1    0.35%
6                         % Held by Institutions 1   97.85%
7                    Shares Short (Mar 14, 2022) 4    5.35M
8                     Short Ratio (Mar 14, 2022) 4     2.22
9                Short % of Float (Mar 14, 2022) 4    2.53%
10  Short % of Shares Outstanding (Mar 14, 2022) 4    2.23%
11       Shares Short (prior month Feb 14, 2022) 4    4.17M"
3,"                                  0             1
0    Forward Annual Dividend Rate 4          1.12
1   Forward Annual Dividend Yield 4         2.21%
2   Trailing Annual Dividend Rate 3          0.99
3  Trailing Annual Dividend Yield 3         1.94%
4   5 Year Average Dividend Yield 4          1.14
5                    Payout Ratio 4        52.16%
6                   Dividend Date 3  Mar 13, 2022
7                Ex-Dividend Date 4  Feb 23, 2022
8               Last Split Factor 2     1138:1000
9                 Last Split Date 3  Jun 30, 2015"
4,"                           0             1
0           Fiscal Year Ends  Dec 30, 2021
1  Most Recent Quarter (mrq)  Dec 30, 2021"
5,"                        0       1
0           Profit Margin   4.90%
1  Operating Margin (ttm)  12.18%"
6,"                        0        1
0  Return on Assets (ttm)   11.23%
1  Return on Equity (ttm)  191.58%"
7,"                                 0        1
0                    Revenue (ttm)    8.38B
1          Revenue Per Share (ttm)    33.63
2   Quarterly Revenue Growth (yoy)    8.70%
3               Gross Profit (ttm)    2.86B
4                           EBITDA    1.17B
5   Net Income Avi to Common (ttm)     406M
6                Diluted EPS (ttm)     1.62
7  Quarterly Earnings Growth (yoy)  -32.30%"
8,"                            0        1
0            Total Cash (mrq)     926M
1  Total Cash Per Share (mrq)     3.86
2            Total Debt (mrq)    3.17B
3     Total Debt/Equity (mrq)  4062.82
4         Current Ratio (mrq)     1.76
5  Book Value Per Share (mrq)    -0.74"
9,"                              0        1
0     Operating Cash Flow (ttm)     930M
1  Levered Free Cash Flow (ttm)  213.75M"
