,0
0,"                           0       1
0      Market Cap (intraday)  13.12B
1           Enterprise Value  35.55B
2               Trailing P/E   28.56
3                Forward P/E    3.10
4  PEG Ratio (5 yr expected)     NaN
5          Price/Sales (ttm)    0.73
6           Price/Book (mrq)    0.64
7   Enterprise Value/Revenue    1.99
8    Enterprise Value/EBITDA    7.94"
1,"                          0        1
0         Beta (5Y Monthly)     1.37
1          52-Week Change 3  -16.74%
2   S&P500 52-Week Change 3    8.73%
3            52 Week High 3    16.29
4             52 Week Low 3     9.66
5   50-Day Moving Average 3    12.33
6  200-Day Moving Average 3    13.51"
2,"                                                 0       1
0                              Avg Vol (3 month) 3  13.44M
1                               Avg Vol (10 day) 3  11.53M
2                             Shares Outstanding 5   1.21B
3                     Implied Shares Outstanding 6     NaN
4                                          Float 8   1.21B
5                             % Held by Insiders 1   0.30%
6                         % Held by Institutions 1  75.74%
7                    Shares Short (Mar 14, 2022) 4   29.8M
8                     Short Ratio (Mar 14, 2022) 4    1.52
9                Short % of Float (Mar 14, 2022) 4   2.77%
10  Short % of Shares Outstanding (Mar 14, 2022) 4   2.46%
11       Shares Short (prior month Feb 14, 2022) 4  17.98M"
3,"                                  0             1
0    Forward Annual Dividend Rate 4          0.48
1   Forward Annual Dividend Yield 4         4.49%
2   Trailing Annual Dividend Rate 3          0.45
3  Trailing Annual Dividend Yield 3         4.16%
4   5 Year Average Dividend Yield 4           NaN
5                    Payout Ratio 4           NaN
6                   Dividend Date 3  Mar 15, 2022
7                Ex-Dividend Date 4  Feb 22, 2022
8               Last Split Factor 2           3:2
9                 Last Split Date 3  Oct 08, 2003"
4,"                           0             1
0           Fiscal Year Ends  Dec 30, 2021
1  Most Recent Quarter (mrq)  Dec 30, 2021"
5,"                        0       1
0           Profit Margin  -7.10%
1  Operating Margin (ttm)  16.59%"
6,"                        0       1
0  Return on Assets (ttm)   3.19%
1  Return on Equity (ttm)  -5.84%"
7,"                                 0       1
0                    Revenue (ttm)  17.89B
1          Revenue Per Share (ttm)   14.80
2   Quarterly Revenue Growth (yoy)  19.80%
3               Gross Profit (ttm)   7.75B
4                           EBITDA   6.18B
5   Net Income Avi to Common (ttm)  -1.27B
6                Diluted EPS (ttm)   -1.05
7  Quarterly Earnings Growth (yoy)     NaN"
8,"                            0       1
0            Total Cash (mrq)  790.4M
1  Total Cash Per Share (mrq)    0.65
2            Total Debt (mrq)  23.36B
3     Total Debt/Equity (mrq)  113.98
4         Current Ratio (mrq)    1.10
5  Book Value Per Share (mrq)   16.94"
9,"                              0      1
0     Operating Cash Flow (ttm)  3.02B
1  Levered Free Cash Flow (ttm)  5.43B"
