,stock,date,time,heading,compound score
0,ANSS,2022-05-03,09:00AM  ,The BMW Group and Ansys Co-Developing Simulation Software for Automated and Autonomous Driving,0.0
1,ANSS,2022-05-02,11:31AM  ,What to Expect Ahead of ANSYS' (ANSS) Q1 Earnings Release,0.0
2,ANSS,2022-05-02,09:00AM  ,Safran Aircraft Engines Selects Ansys Simulation Software to Support Sustainable Next-Generation Aircraft Engines' Development,0.4019
3,ANSS,2022-04-30,08:30AM  ,"ANSYS, Inc.'s (NASDAQ:ANSS) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?",0.5267
4,ANSS,2022-04-29,09:00AM  ,Ansys Honored as Gold Stevie® Award Winner in 2022 American Business Awards®,0.9337
5,ANSS,2022-04-28,04:57PM  ,Ansys simulation software to be used in CU Boulder graduate program,0.0
6,ANSS,2022-04-28,09:00AM  ,Ansys Supports High-Speed Digital Engineering Through New Graduate Program,0.3612
7,ANSS,2022-04-16,09:57AM  ,3 Top Tech Stocks to Buy Right Now,0.2023
8,ANSS,2022-04-15,03:25PM  ,"As it looks to broaden its cloud offerings, Ansys announces plans to acquire cloud simulation company OnScale",0.0
9,ANSS,2022-04-14,04:30PM  ,"ANSYS TO RELEASE FIRST QUARTER 2022 EARNINGS ON MAY 4, 2022",0.0
10,ANSS,2022-04-14,11:21AM  ,ANSYS (ANSS) Set to Acquire OnScale for Undisclosed Terms,0.0
11,ANSS,2022-04-14,09:00AM  ,Ansys Helps Protect National and Global Security Through Digital Mission Engineering and Space Domain Awareness,0.765
12,ANSS,2022-04-13,04:30PM  ,Ansys to Expand Cloud Portfolio with Technology from Acquisition of OnScale,0.3182
13,ANSS,2022-03-25,04:27PM  ,"Are ANSYS, Inc. (NASDAQ:ANSS) Investors Paying Above The Intrinsic Value?",0.34
14,ANSS,2022-03-25,11:30AM  ,Why Is Ansys (ANSS) Down 1.8% Since Last Earnings Report?,0.0
15,ANSS,2022-03-23,11:17AM  ,ANSYS (ANSS) Simulation Solutions Continue to Gain Momentum,0.6249
16,ANSS,2022-03-22,09:31AM  ,ANSYS (ANSS) to Offer Latest EPYC Processors to Cloud Customers,0.0
17,ANSS,2022-03-22,09:00AM  ,Ansys Enables Complex Safety Design for Vestas Wind Turbine Controllers in the Race to Net Zero,0.4215
18,ANSS,2022-03-21,07:15PM  ,Ansys touts new collaboration with Microsoft and AMD for high-performance computing simulation improvements,0.296
19,ANSS,2022-03-21,09:00AM  ,"Ansys Collaborates with Microsoft to Drive Innovation Forward with Chip Development, Simulation, and Cloud Computing",0.3818
20,ANSS,2022-03-11,06:00AM  ,1 Key Factor Allows These 2 Companies to Thrive in Periods of High Inflation,0.0
21,ANSS,2022-03-10,05:55PM  ,Ansys Announces Financial Contribution in Support of Ukrainian Refugees After Previously Suspending Business Operations in Russia and Belarus,0.4019
