,stock,date,time,heading,compound score
0,EQR,2022-03-31,06:50AM  ,This REIT's Business Keeps Getting Stronger,0.3818
1,EQR,2022-03-30,08:17AM  ,"Apartment Rents Will Start to Tumble, Says Powerful Real Estate Billionaire",0.4215
2,EQR,2022-03-30,02:43AM  ,Investors in EQ Resources (ASX:EQR) have made a incredible return of 353% over the past five years,0.0
3,EQR,2022-03-22,03:00PM  ,BROAD STREET REALTY INC. APPOINTS DONNA BRANDIN TO THE BOARD OF DIRECTORS,0.0
4,EQR,2022-03-19,05:00AM  ,"Dollar General, Williams-Sonoma, and 3 More Stocks Whose Dividends Are Going Up",0.0
5,EQR,2022-03-17,05:17PM  ,Equity Residential Declares First Quarter Dividends,0.0
6,EQR,2022-03-15,05:17AM  ,Housing inflation is going nowhere but up,0.0
7,EQR,2022-03-08,08:19AM  ,Worried About Inflation? Consider Investing in These 3 REITs,-0.296
8,EQR,2022-03-03,05:50PM  ,Equity Residential to Participate in 2022 Citi Global Property CEO Conference,0.0
9,EQR,2022-03-03,11:30AM  ,Equity Residential (EQR) Down 7.1% Since Last Earnings Report: Can It Rebound?,0.0
10,EQR,2022-02-24,09:26AM  ,American Tower (AMT) Q4 AFFO Misses & Revenues Beat Estimates,-0.2263
11,EQR,2022-02-21,05:41AM  ,Those who invested in Equity Residential (NYSE:EQR) five years ago are up 59%,0.0
12,EQR,2022-02-18,02:04PM  ,Ventas' (VTR) FFO and Revenues Surpass Estimates in Q4,0.0
13,EQR,2022-02-17,02:37PM  ,Host Hotels' (HST) FFO and Revenues Beat Estimates in Q4,0.0
14,EQR,2022-02-17,02:33PM  ,"Equinix's (EQIX) FFO Misses the Mark, Revenues Beat in Q4",-0.2263
15,EQR,2022-02-15,03:09PM  ,Vornado's (VNO) FFO and Revenues Surpass Estimates in Q4,0.0
16,EQR,2022-02-10,03:37PM  ,"Highwoods (HIW) Q4 FFO & Revenues Top Estimates, NOI Rises",0.2023
