,stock,date,time,heading,compound score
0,ETR,2022-05-27,01:29PM  ,Why Is Entergy (ETR) Down 2% Since Last Earnings Report?,0.0
1,ETR,2022-05-25,06:50AM  ,Sempra Infrastructure and RWE Sign Heads of Agreement for U.S. LNG Supply,0.4939
2,ETR,2022-05-24,09:40AM  ,Has American Electric Power (AEP) Outpaced Other Utilities Stocks This Year?,0.0
3,ETR,2022-05-20,06:39PM  ,"UPDATE 2-In blow to Biden climate goals, Entergy shuts nuclear power plant",0.0
4,ETR,2022-05-20,04:38PM  ,Entergy's Palisades team finishes strong as facility shuts down,0.5106
5,ETR,2022-05-17,04:58PM  ,UPDATE 1-Utilities seek more time to consider U.S. nuclear credit program,0.3818
6,ETR,2022-05-17,10:02AM  ,Mentorship Makes a Difference (Search & Employ Magazine),0.0
7,ETR,2022-05-16,06:35AM  ,Entergy Corporation (NYSE:ETR) Has A ROE Of 8.8%,0.0
8,ETR,2022-05-13,07:25AM  ,"Hawaiian Electric (HE) Q1 Earnings Top, Revenues Rise Y/Y",0.2023
9,ETR,2022-05-11,01:31PM  ,Letters: Path Out of Poverty Runs Through Early Childhood Education (The Advocate),-0.5106
10,ETR,2022-05-11,09:15AM  ,"OGE Energy (OGE) Q1 Earnings Increase Y/Y, Revenues Decline",0.5267
11,ETR,2022-05-09,11:05AM  ,"Duke Energy (DUK) Q1 Earnings Miss Estimates, Revenues Beat",0.128
12,ETR,2022-05-06,10:55AM  ,"AES' Q1 Earnings Miss Estimates, Revenues Increase Y/Y",0.1779
13,ETR,2022-05-06,10:06AM  ,"Consolidated Edison's (ED) Q1 Earnings Miss, Revenues Beat",-0.1531
14,ETR,2022-05-06,08:26AM  ,"Ameren (AEE) Q1 Earnings Beat Estimates, Revenues Rise Y/Y",0.0
15,ETR,2022-05-05,11:00AM  ,Exelon (EXC) to Report Q1 Earnings: What's in the Offing?,0.0
16,ETR,2022-05-05,09:31AM  ,Entergy Recognized As a 2022 Tree Line USA Utility by Arbor Day Foundation,0.0
17,ETR,2022-05-05,08:48AM  ,"Sempra Energy (SRE) Q1 Earnings Beat, Revenues Rise Y/Y",0.2732
